,id,original_title,popularity,release_date,title,vote_average,vote_count
0,278,The Shawshank Redemption,77.428,1994-09-23,The Shawshank Redemption,8.7,21643
1,19404,दिलवाले दुल्हनिया ले जायेंगे,21.114,1995-10-20,Dilwale Dulhania Le Jayenge,8.7,3692
2,238,The Godfather,72.383,1972-03-14,The Godfather,8.7,16118
3,424,Schindler's List,40.158,1993-11-30,Schindler's List,8.6,12879
4,240,The Godfather: Part II,51.94,1974-12-20,The Godfather: Part II,8.6,9721
5,372754,同級生,13.538,2016-02-20,Dou kyu sei – Classmates,8.6,233
6,667257,Cosas imposibles,13.474,2021-06-17,Impossible Things,8.5,248
7,129,千と千尋の神隠し,86.932,2001-07-20,Spirited Away,8.5,12972
8,372058,君の名は。,173.714,2016-08-26,Your Name.,8.5,8814
9,696374,Gabriel's Inferno,14.548,2020-05-29,Gabriel's Inferno,8.5,2252
10,533514,劇場版 ヴァイオレット・エヴァーガーデン,20.297,2020-09-18,Violet Evergarden: The Movie,8.5,238
11,496243,기생충,65.428,2019-05-30,Parasite,8.5,13889
12,724089,Gabriel's Inferno: Part II,15.934,2020-07-31,Gabriel's Inferno: Part II,8.5,1415
13,389,12 Angry Men,28.943,1957-04-10,12 Angry Men,8.5,6480
14,730154,きみの瞳が問いかけている,48.701,2020-10-23,Your Eyes Tell,8.5,324
15,497,The Green Mile,91.365,1999-12-10,The Green Mile,8.5,14054
16,761053,Gabriel's Inferno: Part III,43.551,2020-11-19,Gabriel's Inferno: Part III,8.5,968
17,155,The Dark Knight,66.387,2008-07-14,The Dark Knight,8.5,27765
18,680,Pulp Fiction,61.18,1994-09-10,Pulp Fiction,8.5,23329
19,429,"Il buono, il brutto, il cattivo",41.711,1966-12-23,"The Good, the Bad and the Ugly",8.5,6688
20,122,The Lord of the Rings: The Return of the King,96.652,2003-12-01,The Lord of the Rings: The Return of the King,8.5,19692
21,13,Forrest Gump,63.104,1994-06-23,Forrest Gump,8.5,22873
22,11216,Nuovo Cinema Paradiso,18.754,1988-11-17,Cinema Paradiso,8.5,3368
23,346,七人の侍,20.604,1954-04-26,Seven Samurai,8.5,2697
24,769,GoodFellas,45.033,1990-09-12,GoodFellas,8.5,10194
25,652837,ジョゼと虎と魚たち,15.276,2020-12-25,"Josee, the Tiger and the Fish",8.5,237
26,637,La vita è bella,39.25,1997-12-20,Life Is Beautiful,8.5,11116
27,40096,O Auto da Compadecida,7.409,2000-09-15,A Dog's Will,8.5,893
28,311,Once Upon a Time in America,26.539,1984-05-23,Once Upon a Time in America,8.4,4210
29,14537,切腹,13.385,1962-09-15,Harakiri,8.4,639
30,539,Psycho,36.401,1960-06-22,Psycho,8.4,8228
31,12477,火垂るの墓,0.6,1988-04-16,Grave of the Fireflies,8.4,4165
32,510,One Flew Over the Cuckoo's Nest,26.673,1975-11-18,One Flew Over the Cuckoo's Nest,8.4,8641
33,283566,シン・エヴァンゲリオン劇場版:||,106.397,2021-03-08,Evangelion: 3.0+1.0 Thrice Upon a Time,8.4,515
34,550,Fight Club,49.69,1999-10-15,Fight Club,8.4,24279
35,378064,映画 聲の形,125.762,2016-09-17,A Silent Voice: The Movie,8.4,2985
36,324857,Spider-Man: Into the Spider-Verse,127.111,2018-12-06,Spider-Man: Into the Spider-Verse,8.4,11407
37,598,Cidade de Deus,37.285,2002-02-05,City of God,8.4,5828
38,255709,소원,17.965,2013-10-02,Hope,8.4,392
39,92321,蛍火の杜へ,0.6,2011-09-17,Hotarubi no Mori e,8.4,794
40,4935,ハウルの動く城,75.232,2004-11-19,Howl's Moving Castle,8.4,7380
41,1891,The Empire Strikes Back,46.165,1980-05-20,The Empire Strikes Back,8.4,14266
42,18491,新世紀エヴァンゲリオン劇場版 Air／まごころを、君に,40.011,1997-07-19,Neon Genesis Evangelion: The End of Evangelion,8.4,1082
43,599,Sunset Boulevard,16.203,1950-08-10,Sunset Boulevard,8.4,1964
44,120,The Lord of the Rings: The Fellowship of the Ring,115.512,2001-12-18,The Lord of the Rings: The Fellowship of the Ring,8.4,21081
45,441130,Wolfwalkers,16.977,2020-10-26,Wolfwalkers,8.4,785
46,423,The Pianist,37.422,2002-09-17,The Pianist,8.4,7323
47,244786,Whiplash,65.843,2014-10-10,Whiplash,8.4,12285
48,635302,劇場版「鬼滅の刃」無限列車編,855.566,2020-10-16,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,8.4,2497
49,157336,Interstellar,184.085,2014-11-05,Interstellar,8.4,28709
50,704264,Primal: Tales of Savagery,26.239,2019-11-21,Primal: Tales of Savagery,8.4,223
51,3782,生きる,11.665,1952-10-09,Ikiru,8.4,794
52,73,American History X,29.61,1998-07-01,American History X,8.4,9638
53,121,The Lord of the Rings: The Two Towers,91.388,2002-12-18,The Lord of the Rings: The Two Towers,8.4,18246
54,567,Rear Window,18.789,1954-08-01,Rear Window,8.4,5189
55,12493,天国と地獄,8.972,1963-03-01,High and Low,8.4,593
56,632632,映画 ギヴン,125.218,2020-08-22,Given,8.4,320
57,361743,Top Gun: Maverick,945.958,2022-05-24,Top Gun: Maverick,8.4,1235
58,914,The Great Dictator,16.698,1940-10-15,The Great Dictator,8.4,2634
59,27205,Inception,114.773,2010-07-15,Inception,8.4,31746
60,901,City Lights,13.137,1931-02-01,City Lights,8.4,1640
61,807,Se7en,65.616,1995-09-22,Se7en,8.4,17207
62,644479,Dedicada A Mi Ex,11.48,2019-11-01,Dedicated to my ex,8.3,473
63,545611,Everything Everywhere All at Once,272.702,2022-03-24,Everything Everywhere All at Once,8.3,740
64,128,もののけ姫,43.651,1997-07-12,Princess Mononoke,8.3,6331
65,25237,Иди и смотри,16.165,1985-07-09,Come and See,8.3,949
66,274,The Silence of the Lambs,10.051,1991-02-01,The Silence of the Lambs,8.3,13382
67,592350,僕のヒーローアカデミア THE MOVIE ヒーローズ：ライジング,209.583,2019-12-20,My Hero Academia: Heroes Rising,8.3,928
68,3082,Modern Times,12.308,1936-02-05,Modern Times,8.3,2969
69,207,Dead Poets Society,29.214,1989-06-02,Dead Poets Society,8.3,9174
70,527641,Five Feet Apart,98.358,2019-03-14,Five Feet Apart,8.3,4787
71,630566,Clouds,24.281,2020-10-09,Clouds,8.3,847
72,556574,Hamilton,12.791,2020-07-03,Hamilton,8.3,973
73,101,Léon: The Professional,62.707,1994-09-14,Léon: The Professional,8.3,12169
74,975,Paths of Glory,11.499,1957-10-25,Paths of Glory,8.3,2208
75,335,C'era una volta il West,21.623,1968-12-21,Once Upon a Time in the West,8.3,3408
76,618344,Justice League Dark: Apokolips War,34.355,2020-05-05,Justice League Dark: Apokolips War,8.3,1177
77,42269,C'eravamo tanto amati,7.198,1974-12-21,We All Loved Each Other So Much,8.3,421
78,572154,青春ブタ野郎はゆめみる少女の夢を見ない,85.852,2019-06-15,Rascal Does Not Dream of a Dreaming Girl,8.3,383
79,105,Back to the Future,45.537,1985-07-03,Back to the Future,8.3,16644
80,16672,砂の女,10.199,1964-02-15,Woman in the Dunes,8.3,288
81,447362,Life in a Year,115.014,2020-11-27,Life in a Year,8.3,1034
82,18148,東京物語,10.791,1953-11-03,Tokyo Story,8.3,761
83,532067,映画 この素晴らしい世界に祝福を！紅伝説,152.481,2019-08-30,KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson,8.3,394
84,575813,少年的你,22.117,2019-10-25,Better Days,8.3,243
85,537061,Steven Universe: The Movie,46.63,2019-09-02,Steven Universe: The Movie,8.3,667
86,29259,Le Trou,10.784,1960-03-18,Le Trou,8.3,328
87,28,Apocalypse Now,27.041,1979-08-15,Apocalypse Now,8.3,6569
88,299534,Avengers: Endgame,275.376,2019-04-24,Avengers: Endgame,8.3,21244
89,10494,パーフェクトブルー,25.579,1997-07-25,Perfect Blue,8.3,1704
90,10376,La leggenda del pianista sull'oceano,18.574,1998-10-28,The Legend of 1900,8.3,1856
91,637920,7. Koğuştaki Mucize,54.903,2019-10-10,Miracle in Cell No. 7,8.3,3948
92,265177,Mommy,15.046,2014-05-22,Mommy,8.3,2314
93,791373,Zack Snyder's Justice League,251.494,2021-03-18,Zack Snyder's Justice League,8.3,7864
94,508965,Klaus,20.862,2019-11-08,Klaus,8.3,2955
95,522924,The Art of Racing in the Rain,23.508,2019-08-08,The Art of Racing in the Rain,8.3,1070
96,670,올드보이,31.327,2003-11-21,Oldboy,8.3,6749
97,299536,Avengers: Infinity War,458.041,2018-04-25,Avengers: Infinity War,8.3,24813
98,797,Persona,12.609,1966-10-18,Persona,8.3,1634
99,290098,아가씨,35.299,2016-06-01,The Handmaiden,8.3,2704
100,5156,Ladri di biciclette,12.147,1948-11-24,Bicycle Thieves,8.3,1850
101,77338,Intouchables,73.009,2011-11-02,The Intouchables,8.3,14718
102,110420,おおかみこどもの雨と雪,39.672,2012-07-21,Wolf Children,8.3,1796
103,24188,Il sorpasso,7.592,1962-12-05,Il Sorpasso,8.3,567
104,8587,The Lion King,179.232,1994-06-23,The Lion King,8.3,15415
105,1585,It's a Wonderful Life,31.574,1946-12-20,It's a Wonderful Life,8.3,3335
106,610892,ヴァイオレット・エヴァーガーデン 外伝 - 永遠と自動手記人形 -,18.345,2019-09-06,Violet Evergarden: Eternity and the Auto Memory Doll,8.3,250
107,526702,Black Beauty,12.935,2020-11-27,Black Beauty,8.3,266
108,20532,山椒大夫,8.138,1954-03-31,Sansho the Bailiff,8.3,260
109,476292,さよならの朝に約束の花をかざろう,79.486,2018-02-24,Maquia: When the Promised Flower Blooms,8.2,460
110,504253,君の膵臓をたべたい,77.685,2018-09-01,I Want to Eat Your Pancreas,8.2,1023
111,490132,Green Book,32.171,2018-11-16,Green Book,8.2,9126
112,37257,Witness for the Prosecution,11.041,1957-12-17,Witness for the Prosecution,8.2,994
113,313106,Doctor Who: The Day of the Doctor,15.449,2013-11-23,Doctor Who: The Day of the Doctor,8.2,649
114,664767,Mortal Kombat Legends: Scorpion's Revenge,45.391,2020-04-12,Mortal Kombat Legends: Scorpion's Revenge,8.2,1106
115,663558,新神榜：哪吒重生,83.714,2021-02-06,New Gods: Nezha Reborn,8.2,281
116,1398,Сталкер,17.945,1979-05-25,Stalker,8.2,1583
117,755812,"Miraculous World : New York, les héros unis",276.021,2020-09-25,"Miraculous World: New York, United HeroeZ",8.2,899
118,422,8½,11.236,1963-02-14,8½,8.2,1798
119,284,The Apartment,13.731,1960-06-21,The Apartment,8.2,1722
120,10098,The Kid,9.182,1921-01-21,The Kid,8.2,1593
121,354912,Coco,226.644,2017-10-27,Coco,8.2,15798
122,26451,Indagine su un cittadino al di sopra di ogni sospetto,8.452,1970-10-16,Investigation of a Citizen Above Suspicion,8.2,589
123,694,The Shining,49.021,1980-05-23,The Shining,8.2,14530
124,490,Det sjunde inseglet,14.537,1957-02-16,The Seventh Seal,8.2,2345
125,185,A Clockwork Orange,36.588,1971-12-19,A Clockwork Orange,8.2,10747
126,2457,Les Enfants du Paradis,8.059,1945-03-15,Children of Paradise,8.2,295
127,531428,Portrait de la jeune fille en feu,20.573,2019-06-17,Portrait of a Lady on Fire,8.2,1804
128,470044,The Hate U Give,25.4,2018-10-19,The Hate U Give,8.2,1775
129,398818,Call Me by Your Name,101.397,2017-09-01,Call Me by Your Name,8.2,10294
130,426,Vertigo,18.817,1958-05-28,Vertigo,8.2,4623
131,823754,Bo Burnham: Inside,15.742,2021-07-22,Bo Burnham: Inside,8.2,227
132,16869,Inglourious Basterds,80.839,2009-08-19,Inglourious Basterds,8.2,18810
133,518068,신과함께-인과 연,27.116,2018-08-01,Along with the Gods: The Last 49 Days,8.2,345
134,11,Star Wars,133.693,1977-05-25,Star Wars,8.2,17362
135,620683,Minha Mãe é uma Peça 3: O Filme,6.659,2019-12-26,My Mom is a Character 3,8.2,421
136,629,The Usual Suspects,22.017,1995-07-19,The Usual Suspects,8.2,8645
137,399106,Piper,9.395,2016-06-16,Piper,8.2,1363
138,98,Gladiator,48.018,2000-05-01,Gladiator,8.2,15245
139,1124,The Prestige,73.488,2006-10-19,The Prestige,8.2,13120
140,77,Memento,27.555,2000-10-11,Memento,8.2,12346
141,857,Saving Private Ryan,54.354,1998-07-24,Saving Private Ryan,8.2,13139
142,11324,Shutter Island,87.113,2010-02-14,Shutter Island,8.2,20029
143,705,All About Eve,12.577,1950-10-06,All About Eve,8.2,1208
